cell_id	clone_id
SA1090-A96213A-R20-C11	A
SA1090-A96213A-R20-C18	A
SA1090-A96213A-R20-C19	A
SA1090-A96213A-R20-C22	A
SA1090-A96213A-R20-C23	C
SA1090-A96213A-R20-C25	B
SA1090-A96213A-R20-C26	A
SA1090-A96213A-R20-C31	C
SA1090-A96213A-R20-C32	D
SA1090-A96213A-R20-C35	A
SA1090-A96213A-R20-C36	B
SA1090-A96213A-R20-C37	B
SA1090-A96213A-R20-C40	None
SA1090-A96213A-R20-C48	B
SA1090-A96213A-R20-C50	B
SA1090-A96213A-R20-C54	D
SA1090-A96213A-R20-C56	B
SA1090-A96213A-R20-C57	B
SA1090-A96213A-R20-C61	A
SA1090-A96213A-R20-C62	B
SA1090-A96213A-R20-C65	A
SA1090-A96213A-R20-C69	A
SA1090-A96213A-R22-C20	C
SA1090-A96213A-R22-C21	A
SA1090-A96213A-R22-C22	B
SA1090-A96213A-R22-C24	A
SA1090-A96213A-R22-C26	B
SA1090-A96213A-R22-C27	B
SA1090-A96213A-R22-C28	A
SA1090-A96213A-R22-C30	A
SA1090-A96213A-R22-C33	B
SA1090-A96213A-R22-C34	A
SA1090-A96213A-R22-C38	B
SA1090-A96213A-R22-C39	B
SA1090-A96213A-R22-C41	B
SA1090-A96213A-R22-C43	A
SA1090-A96213A-R22-C44	None
SA1090-A96213A-R22-C45	D
SA1090-A96213A-R22-C46	D
SA1090-A96213A-R22-C47	A
SA1090-A96213A-R22-C48	A
SA1090-A96213A-R22-C50	A
SA1090-A96213A-R24-C12	B
SA1090-A96213A-R24-C13	A
SA1090-A96213A-R24-C14	A
SA1090-A96213A-R24-C17	A
SA1090-A96213A-R24-C20	A
SA1090-A96213A-R24-C22	A
SA1090-A96213A-R24-C23	A
SA1090-A96213A-R24-C24	D
SA1090-A96213A-R24-C25	D
SA1090-A96213A-R24-C26	D
SA1090-A96213A-R24-C27	None
SA1090-A96213A-R24-C29	C
SA1090-A96213A-R24-C32	B
SA1090-A96213A-R24-C33	None
SA1090-A96213A-R24-C38	C
SA1090-A96213A-R24-C39	A
SA1090-A96213A-R24-C40	D
SA1090-A96213A-R24-C42	B
SA1090-A96213A-R24-C43	A
SA1090-A96213A-R24-C44	A
SA1090-A96213A-R24-C46	A
SA1090-A96213A-R24-C47	B
SA1090-A96213A-R24-C48	B
SA1090-A96213A-R24-C53	A
SA1090-A96213A-R24-C54	A
SA1090-A96213A-R24-C55	A
SA1090-A96213A-R24-C56	A
SA1090-A96213A-R24-C57	A
SA1090-A96213A-R24-C59	A
SA1090-A96213A-R24-C61	None
SA1090-A96213A-R24-C63	A
SA1090-A96213A-R24-C64	B
SA1090-A96213A-R24-C65	B
SA1090-A96213A-R24-C66	A
SA1090-A96213A-R24-C68	B
SA1090-A96213A-R24-C70	A
SA1090-A96213A-R25-C09	A
SA1090-A96213A-R25-C12	D
SA1090-A96213A-R25-C13	A
SA1090-A96213A-R25-C15	D
SA1090-A96213A-R25-C16	B
SA1090-A96213A-R25-C18	A
SA1090-A96213A-R25-C22	D
SA1090-A96213A-R25-C23	A
SA1090-A96213A-R25-C24	A
SA1090-A96213A-R25-C33	C
SA1090-A96213A-R25-C39	B
SA1090-A96213A-R25-C44	D
SA1090-A96213A-R25-C46	B
SA1090-A96213A-R25-C51	B
SA1090-A96213A-R25-C57	A
SA1090-A96213A-R25-C61	A
SA1090-A96213A-R25-C65	B
SA1090-A96213A-R25-C67	A
SA1090-A96213A-R26-C14	A
SA1090-A96213A-R26-C33	A
SA1090-A96213A-R26-C37	A
SA1090-A96213A-R26-C43	A
SA1090-A96213A-R26-C45	A
SA1090-A96213A-R26-C46	B
SA1090-A96213A-R26-C50	D
SA1090-A96213A-R26-C62	B
SA1090-A96213A-R26-C64	A
SA1090-A96213A-R26-C65	A
SA1090-A96213A-R26-C66	None
SA1090-A96213A-R26-C68	B
SA1090-A96213A-R26-C70	B
SA1090-A96213A-R27-C07	D
SA1090-A96213A-R27-C33	B
SA1090-A96213A-R27-C35	B
SA1090-A96213A-R27-C42	B
SA1090-A96213A-R27-C45	D
SA1090-A96213A-R27-C47	A
SA1090-A96213A-R27-C48	D
SA1090-A96213A-R27-C55	B
SA1090-A96213A-R27-C62	A
SA1090-A96213A-R27-C63	A
SA1090-A96213A-R27-C64	A
SA1090-A96213A-R27-C66	B
SA1090-A96213A-R28-C08	A
SA1090-A96213A-R28-C09	A
SA1090-A96213A-R28-C10	D
SA1090-A96213A-R28-C11	A
SA1090-A96213A-R28-C13	B
SA1090-A96213A-R28-C15	B
SA1090-A96213A-R28-C16	A
SA1090-A96213A-R28-C18	D
SA1090-A96213A-R28-C21	B
SA1090-A96213A-R28-C22	A
SA1090-A96213A-R28-C23	D
SA1090-A96213A-R28-C25	A
SA1090-A96213A-R28-C26	A
SA1090-A96213A-R28-C27	B
SA1090-A96213A-R28-C28	D
SA1090-A96213A-R28-C29	B
SA1090-A96213A-R28-C30	A
SA1090-A96213A-R28-C32	A
SA1090-A96213A-R28-C33	A
SA1090-A96213A-R28-C34	A
SA1090-A96213A-R28-C36	B
SA1090-A96213A-R28-C38	A
SA1090-A96213A-R28-C39	D
