cell_id	clone_id
SA1035X4XB02879-A95626A-R03-C22	K
SA1035X4XB02879-A95626A-R03-C24	I
SA1035X4XB02879-A95626A-R03-C31	B
SA1035X4XB02879-A95626A-R03-C37	B
SA1035X4XB02879-A95626A-R03-C44	G
SA1035X4XB02879-A95626A-R03-C45	K
SA1035X4XB02879-A95626A-R03-C50	K
SA1035X4XB02879-A95626A-R03-C52	K
SA1035X4XB02879-A95626A-R03-C53	K
SA1035X4XB02879-A95626A-R03-C54	E
SA1035X4XB02879-A95626A-R03-C58	K
SA1035X4XB02879-A95626A-R03-C62	None
SA1035X4XB02879-A95626A-R04-C07	K
SA1035X4XB02879-A95626A-R04-C21	K
SA1035X4XB02879-A95626A-R04-C23	I
SA1035X4XB02879-A95626A-R04-C43	K
SA1035X4XB02879-A95626A-R04-C59	K
SA1035X4XB02879-A95626A-R05-C07	K
SA1035X4XB02879-A95626A-R05-C18	K
SA1035X4XB02879-A95626A-R05-C22	K
SA1035X4XB02879-A95626A-R05-C29	K
SA1035X4XB02879-A95626A-R05-C30	I
SA1035X4XB02879-A95626A-R05-C40	K
SA1035X4XB02879-A95626A-R05-C49	None
SA1035X4XB02879-A95626A-R05-C53	K
SA1035X4XB02879-A95626A-R06-C22	I
SA1035X4XB02879-A95626A-R06-C29	K
SA1035X4XB02879-A95626A-R06-C39	None
SA1035X4XB02879-A95626A-R06-C60	K
SA1035X4XB02879-A95626A-R06-C61	K
SA1035X4XB02879-A95626A-R07-C15	I
SA1035X4XB02879-A95626A-R07-C20	K
SA1035X4XB02879-A95626A-R07-C23	I
SA1035X4XB02879-A95626A-R07-C24	C
SA1035X4XB02879-A95626A-R07-C27	K
SA1035X4XB02879-A95626A-R07-C29	K
SA1035X4XB02879-A95626A-R07-C56	None
SA1035X4XB02879-A95626A-R07-C58	K
SA1035X4XB02879-A95626A-R08-C36	K
SA1035X4XB02879-A95626A-R08-C42	E
SA1035X4XB02879-A95626A-R08-C48	I
SA1035X4XB02879-A95626A-R08-C60	K
SA1035X4XB02879-A95626A-R08-C61	B
SA1035X4XB02879-A95626A-R09-C12	I
SA1035X4XB02879-A95626A-R09-C20	K
SA1035X4XB02879-A95626A-R09-C50	K
SA1035X4XB02879-A95626A-R09-C59	I
SA1035X4XB02879-A95626A-R10-C15	K
SA1035X4XB02879-A95626A-R10-C25	K
SA1035X4XB02879-A95626A-R10-C32	K
SA1035X4XB02879-A95626A-R10-C33	K
SA1035X4XB02879-A95626A-R11-C09	K
SA1035X4XB02879-A95626A-R11-C14	K
SA1035X4XB02879-A95626A-R11-C24	K
SA1035X4XB02879-A95626A-R11-C30	K
SA1035X4XB02879-A95626A-R11-C35	K
SA1035X4XB02879-A95626A-R11-C36	K
