cell_id	clone_id
SA535X10XB03696-A118869B-R45-C12	F
SA535X10XB03696-A118869B-R45-C30	Q
SA535X10XB03696-A118869B-R45-C38	O
SA535X10XB03696-A118869B-R45-C39	G
SA535X10XB03696-A118869B-R45-C42	G
SA535X10XB03696-A118869B-R45-C46	J
SA535X10XB03696-A118869B-R45-C49	G
SA535X10XB03696-A118869B-R45-C50	J
SA535X10XB03696-A118869B-R45-C51	J
SA535X10XB03696-A118869B-R45-C54	G
SA535X10XB03696-A118869B-R45-C63	G
SA535X10XB03696-A118869B-R45-C66	G
SA535X10XB03696-A118869B-R45-C67	O
SA535X10XB03696-A118869B-R46-C28	G
SA535X10XB03696-A118869B-R46-C32	O
SA535X10XB03696-A118869B-R46-C34	G
SA535X10XB03696-A118869B-R46-C37	G
SA535X10XB03696-A118869B-R46-C39	G
SA535X10XB03696-A118869B-R46-C44	G
SA535X10XB03696-A118869B-R46-C45	Q
SA535X10XB03696-A118869B-R46-C47	F
SA535X10XB03696-A118869B-R46-C49	O
SA535X10XB03696-A118869B-R46-C51	O
SA535X10XB03696-A118869B-R46-C54	G
SA535X10XB03696-A118869B-R46-C57	G
SA535X10XB03696-A118869B-R46-C58	O
SA535X10XB03696-A118869B-R46-C59	O
SA535X10XB03696-A118869B-R46-C60	G
SA535X10XB03696-A118869B-R46-C62	J
SA535X10XB03696-A118869B-R46-C63	G
SA535X10XB03696-A118869B-R46-C64	J
SA535X10XB03696-A118869B-R46-C65	G
SA535X10XB03696-A118869B-R46-C66	G
SA535X10XB03696-A118869B-R46-C68	G
SA535X10XB03696-A118869B-R47-C23	J
SA535X10XB03696-A118869B-R47-C25	F
SA535X10XB03696-A118869B-R47-C35	O
SA535X10XB03696-A118869B-R47-C42	F
SA535X10XB03696-A118869B-R47-C48	G
SA535X10XB03696-A118869B-R47-C51	G
SA535X10XB03696-A118869B-R47-C52	J
SA535X10XB03696-A118869B-R47-C63	O
SA535X10XB03696-A118869B-R47-C65	J
SA535X10XB03696-A118869B-R47-C67	O
SA535X10XB03696-A118869B-R48-C29	G
SA535X10XB03696-A118869B-R48-C31	G
